"Name","Activity type","Description"
"17/01/2016 21:32","",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","53.457396","-2.235566","59.599998474121094","","20","0.4375","2016-01-17T21:32:37.360Z","","",""
"1","2","53.457395","-2.235566","59.599998474121094","0.0","20","0.25","2016-01-17T21:33:18.543Z","","",""
"1","3","53.457392","-2.235565","59.599998474121094","0.0","20","0.0625","2016-01-17T21:33:19.361Z","","",""
"1","4","53.45739","-2.235563","59.599998474121094","0.0","20","0.4375","2016-01-17T21:33:20.349Z","","",""
"1","5","53.457388","-2.235564","59.599998474121094","0.0","20","0.4375","2016-01-17T21:33:22.358Z","","",""
"1","6","53.457388","-2.235565","59.599998474121094","0.0","20","0.1875","2016-01-17T21:33:23.378Z","","",""
"1","7","53.45734","-2.235522","59.599998474121094","0.0","20","0.125","2016-01-17T21:33:28.370Z","","",""
"1","8","53.457311","-2.235544","59.599998474121094","0.0","20","0.375","2016-01-17T21:33:29.381Z","","",""
"1","9","53.457343","-2.235543","59.599998474121094","0.0","20","0.375","2016-01-17T21:33:32.363Z","","",""
"1","10","53.457305","-2.235531","59.599998474121094","0.0","20","0.1875","2016-01-17T21:33:33.367Z","","",""
"1","11","53.457387","-2.235493","59.599998474121094","0.0","20","0.8125","2016-01-17T21:33:34.335Z","","",""
"1","12","53.457358","-2.235457","59.599998474121094","0.0","20","0.3125","2016-01-17T21:33:35.361Z","","",""
"1","13","53.457264","-2.235487","59.599998474121094","0.0","25","0.8125","2016-01-17T21:33:36.362Z","","",""
"1","14","53.457338","-2.235504","59.599998474121094","0.0","20","0.4375","2016-01-17T21:33:37.386Z","","",""
"1","15","53.457358","-2.235523","59.599998474121094","0.0","20","0.625","2016-01-17T21:33:38.485Z","","",""
"1","16","53.457374","-2.235517","59.599998474121094","0.0","20","0.375","2016-01-17T21:33:41.357Z","","",""
"1","17","53.45737","-2.23552","59.599998474121094","0.0","20","0.125","2016-01-17T21:33:42.361Z","","",""
"1","18","53.457374","-2.235525","59.599998474121094","0.0","25","0.8125","2016-01-17T21:33:43.367Z","","",""
"1","19","53.457373","-2.235525","59.599998474121094","0.0","20","0.125","2016-01-17T21:33:44.369Z","","",""
"1","20","53.457372","-2.235523","59.599998474121094","0.0","20","0.3125","2016-01-17T21:33:45.362Z","","",""
"1","21","53.457373","-2.235521","59.599998474121094","0.0","20","0.125","2016-01-17T21:33:46.383Z","","",""
"1","22","53.457371","-2.235517","59.599998474121094","0.0","20","0.625","2016-01-17T21:33:47.367Z","","",""
"1","23","53.457369","-2.235513","59.599998474121094","0.0","20","0.5625","2016-01-17T21:33:50.362Z","","",""
"1","24","53.457369","-2.235512","59.599998474121094","0.0","20","0.0625","2016-01-17T21:33:51.358Z","","",""
"1","25","53.457365","-2.235506","59.79999923706055","0.0","20","0.0625","2016-01-17T21:33:54.369Z","","",""
"1","26","53.457364","-2.235506","59.70000076293945","0.0","20","0.5625","2016-01-17T21:33:55.362Z","","",""
"1","27","53.457361","-2.235507","59.70000076293945","0.0","20","0.1875","2016-01-17T21:33:56.403Z","","",""
"1","28","53.457362","-2.235507","59.70000076293945","0.0","20","0.375","2016-01-17T21:33:57.370Z","","",""
"1","29","53.457364","-2.235511","59.29999923706055","0.0","20","0.25","2016-01-17T21:34:07.387Z","","",""
"1","30","53.457365","-2.235511","59.29999923706055","0.0","20","0.0625","2016-01-17T21:34:08.398Z","","",""
"1","31","53.457365","-2.235512","59.20000076293945","0.0","20","0.5","2016-01-17T21:34:09.395Z","","",""
"1","32","53.457366","-2.235512","59.20000076293945","0.0","20","0.3125","2016-01-17T21:34:10.378Z","","",""
"1","33","53.457367","-2.235512","59.0","0.0","20","0.125","2016-01-17T21:34:11.377Z","","",""
"1","34","53.457366","-2.235513","59.0","0.0","20","0.375","2016-01-17T21:34:12.372Z","","",""
"1","35","53.457366","-2.235513","58.900001525878906","0.0","20","0.0625","2016-01-17T21:34:13.359Z","","",""
"1","36","53.457367","-2.235514","58.900001525878906","0.0","20","0.25","2016-01-17T21:34:14.360Z","","",""
"1","37","53.457367","-2.235515","58.79999923706055","0.0","20","0.1875","2016-01-17T21:34:15.366Z","","",""
"1","38","53.457367","-2.235516","58.79999923706055","0.0","20","0.3125","2016-01-17T21:34:16.377Z","","",""
"1","39","53.457368","-2.235516","58.70000076293945","0.0","20","0.1875","2016-01-17T21:34:17.360Z","","",""
"1","40","53.457368","-2.235516","58.5","0.0","20","0.1875","2016-01-17T21:34:19.492Z","","",""
"1","41","53.457368","-2.235517","58.400001525878906","0.0","20","0.25","2016-01-17T21:34:20.387Z","","",""
"1","42","53.457368","-2.235518","58.20000076293945","0.0","20","0.375","2016-01-17T21:34:22.388Z","","",""
"1","43","53.457334","-2.235436","85.4000015258789","","5","0.1875","2016-01-17T21:34:23.370Z","","",""
"1","44","53.457335","-2.235438","84.69999694824219","0.0","5","0.125","2016-01-17T22:01:16.968Z","","",""
"1","45","53.457335","-2.235438","84.69999694824219","","5","0.25","2016-01-17T22:01:17.950Z","","",""
"1","46","53.457387","-2.235466","81.80000305175781","350.0","5","0.25","2016-01-17T22:01:21.983Z","","",""
"1","47","53.457387","-2.235465","81.69999694824219","350.0","5","0.0625","2016-01-17T22:01:22.930Z","","",""
"1","48","53.457335","-2.235459","81.4000015258789","350.0","5","0.125","2016-01-17T22:01:39.995Z","","",""
"1","49","53.457331","-2.23546","81.4000015258789","350.0","5","0.3125","2016-01-17T22:01:40.960Z","","",""
"1","50","53.457331","-2.23546","81.4000015258789","350.0","5","0.3125","2016-01-17T22:01:40.983Z","","",""
"1","51","53.457329","-2.235458","81.4000015258789","350.0","5","0.1875","2016-01-17T22:01:41.968Z","","",""
"1","52","53.457286","-2.23534","85.0999984741211","350.0","5","0.1875","2016-01-17T22:45:39.878Z","","",""
"1","53","53.457281","-2.235331","85.19999694824219","350.0","5","0.3125","2016-01-17T22:45:40.850Z","","",""
"1","54","53.457276","-2.235324","85.19999694824219","350.0","5","0.25","2016-01-17T22:45:41.871Z","","",""
"1","55","53.457275","-2.235322","85.0999984741211","350.0","5","0.125","2016-01-17T22:45:42.826Z","","",""
"1","56","53.457275","-2.235322","85.0999984741211","350.0","10","0.1875","2016-01-17T22:46:17.062Z","","",""
"1","57","53.457306","-2.235374","83.0999984741211","350.0","10","0.3125","2016-01-17T22:46:17.853Z","","",""
"1","58","53.457331","-2.235406","82.5999984741211","350.0","10","0.3125","2016-01-17T22:46:20.857Z","","",""
"1","59","53.457331","-2.235406","82.5999984741211","350.0","10","0.1875","2016-01-17T22:46:21.833Z","","",""
"1","60","53.457331","-2.235406","82.5999984741211","350.0","10","0.1875","2016-01-17T22:46:27.848Z","","",""
"1","61","53.457331","-2.235406","82.5999984741211","350.0","10","0.25","2016-01-17T22:46:28.843Z","","",""
"1","62","53.457278","-2.235296","82.0","91.0","10","0.5625","2016-01-17T22:46:32.864Z","","",""
"1","63","53.457271","-2.235281","82.0999984741211","98.0","10","0.625","2016-01-17T22:46:33.838Z","","",""
"1","64","53.457262","-2.235269","82.30000305175781","114.0","10","0.5","2016-01-17T22:46:35.867Z","","",""
"1","65","53.457263","-2.235272","82.30000305175781","119.0","10","0.1875","2016-01-17T22:46:36.844Z","","",""
"1","66","53.457266","-2.235281","82.19999694824219","111.0","10","0.0625","2016-01-17T22:49:39.857Z","","",""
"1","67","53.457302","-2.235334","83.30000305175781","111.0","10","0.25","2016-01-17T22:49:40.833Z","","",""
"1","68","53.457309","-2.235351","83.80000305175781","111.0","10","0.375","2016-01-17T22:49:43.861Z","","",""
"1","69","53.457309","-2.235351","83.80000305175781","111.0","10","0.1875","2016-01-17T22:49:44.863Z","","",""
"1","70","53.45731","-2.235428","84.19999694824219","111.0","10","0.0625","2016-01-17T22:51:16.011Z","","",""
"1","71","53.457285","-2.23536","84.69999694824219","118.0","10","0.5625","2016-01-17T22:51:16.851Z","","",""
"1","72","53.457277","-2.235362","84.5999984741211","118.0","10","0.375","2016-01-17T22:51:19.867Z","","",""
"1","73","53.457277","-2.235362","84.5999984741211","118.0","10","0.125","2016-01-17T22:51:20.847Z","","",""
"1","74","53.457277","-2.235362","84.5999984741211","118.0","10","0.125","2016-01-17T22:51:47.863Z","","",""
"1","75","53.457277","-2.235362","84.5999984741211","118.0","10","0.25","2016-01-17T22:51:48.843Z","","",""
"1","76","53.457277","-2.235362","84.5999984741211","118.0","10","0.25","2016-01-17T22:51:50.867Z","","",""
"1","77","53.457277","-2.235362","84.5999984741211","118.0","10","0.125","2016-01-17T22:51:51.846Z","","",""
"1","78","53.457277","-2.235362","84.5999984741211","118.0","10","0.125","2016-01-17T22:52:17.878Z","","",""
"1","79","53.457317","-2.2354","87.0999984741211","97.0","10","0.5","2016-01-17T22:52:18.850Z","","",""
"1","80","53.457325","-2.235413","87.5","80.0","10","0.25","2016-01-17T22:52:21.871Z","","",""
"1","81","53.457325","-2.235413","87.5","80.0","10","0.125","2016-01-17T22:52:22.840Z","","",""
"1","82","53.457296","-2.235348","90.19999694824219","81.0","10","0.1875","2016-01-17T22:52:36.908Z","","",""
"1","83","53.457293","-2.235342","90.4000015258789","81.0","10","0.25","2016-01-17T22:52:37.858Z","","",""
"1","84","53.457293","-2.235342","90.4000015258789","81.0","10","0.25","2016-01-17T22:52:37.876Z","","",""
"1","85","53.457297","-2.235346","90.5","81.0","10","0.0625","2016-01-17T22:52:38.849Z","","",""
"1","86","53.457338","-2.235414","90.80000305175781","81.0","10","0.125","2016-01-17T22:53:12.860Z","","",""
"1","87","53.457338","-2.235414","90.80000305175781","81.0","10","0.25","2016-01-17T22:53:14.025Z","","",""
"1","88","53.457338","-2.235414","90.80000305175781","81.0","10","0.25","2016-01-17T22:53:14.883Z","","",""
"1","89","53.457338","-2.235414","90.80000305175781","81.0","10","0.1875","2016-01-17T22:53:15.854Z","","",""
"1","90","53.457338","-2.235414","90.80000305175781","81.0","10","0.1875","2016-01-17T22:53:16.863Z","","",""
"1","91","53.457363","-2.235492","90.19999694824219","60.0","10","0.5625","2016-01-17T22:53:17.849Z","","",""
"1","92","53.457366","-2.235495","90.0999984741211","59.0","10","0.4375","2016-01-17T22:53:18.870Z","","",""
"1","93","53.457366","-2.235494","90.0","59.0","10","0.1875","2016-01-17T22:53:19.858Z","","",""
"1","94","53.457385","-2.235433","90.4000015258789","59.0","10","0.1875","2016-01-17T22:53:40.863Z","","",""
"1","95","53.457389","-2.235435","90.5","59.0","10","0.3125","2016-01-17T22:53:41.843Z","","",""
"1","96","53.457389","-2.235435","90.5","59.0","10","0.3125","2016-01-17T22:53:41.866Z","","",""
"1","97","53.457389","-2.235435","90.5","59.0","10","0.125","2016-01-17T22:53:42.841Z","","",""
"1","98","53.457389","-2.235435","90.5","59.0","10","0.0625","2016-01-17T22:53:57.919Z","","",""
"1","99","53.457424","-2.235485","91.19999694824219","59.0","10","0.375","2016-01-17T22:53:58.844Z","","",""
"1","100","53.457426","-2.235501","91.0999984741211","59.0","10","0.4375","2016-01-17T22:54:00.873Z","","",""
"1","101","53.45742","-2.235495","91.0","59.0","10","0.1875","2016-01-17T22:54:01.843Z","","",""
"1","102","53.457383","-2.235423","90.0","59.0","5","0.1875","2016-01-17T22:56:03.079Z","","",""
"1","103","53.457383","-2.235423","90.0","59.0","5","0.25","2016-01-17T22:56:03.837Z","","",""
"1","104","53.457383","-2.235423","90.0","59.0","5","0.25","2016-01-17T22:56:03.853Z","","",""
"1","105","53.457383","-2.235423","90.0","59.0","5","0.125","2016-01-17T22:56:04.845Z","","",""
"1","106","53.457369","-2.235495","90.80000305175781","59.0","5","0.1875","2016-01-17T22:56:17.986Z","","",""
"1","107","53.457368","-2.235498","90.80000305175781","59.0","5","0.25","2016-01-17T22:56:18.866Z","","",""
"1","108","53.457348","-2.235582","91.30000305175781","243.0","10","0.4375","2016-01-17T22:56:31.077Z","","",""
"1","109","53.457348","-2.235582","91.30000305175781","243.0","10","0.1875","2016-01-17T22:56:31.841Z","","",""
"1","110","53.457348","-2.235582","91.30000305175781","259.0","10","0.0625","2016-01-17T22:56:47.859Z","","",""
"1","111","53.457374","-2.23552","91.69999694824219","261.0","10","0.4375","2016-01-17T22:56:48.839Z","","",""
"1","112","53.457378","-2.235508","91.80000305175781","263.0","10","0.3125","2016-01-17T22:56:50.864Z","","",""
"1","113","53.457378","-2.235507","91.9000015258789","262.0","10","0.0625","2016-01-17T22:56:51.843Z","","",""
"1","114","53.457378","-2.235507","91.9000015258789","263.0","10","0.125","2016-01-17T22:57:06.852Z","","",""
"1","115","53.457378","-2.235507","91.9000015258789","263.0","10","0.25","2016-01-17T22:57:07.854Z","","",""
"1","116","53.457378","-2.235507","91.9000015258789","263.0","10","0.25","2016-01-17T22:57:07.872Z","","",""
"1","117","53.457378","-2.235507","91.9000015258789","263.0","10","0.1875","2016-01-17T22:57:08.853Z","","",""
"1","118","53.457344","-2.235432","92.80000305175781","263.0","10","0.0625","2016-01-17T22:57:16.853Z","","",""
"1","119","53.457337","-2.235425","93.0","263.0","10","0.25","2016-01-17T22:57:17.841Z","","",""
"1","120","53.457337","-2.235425","93.0","263.0","10","0.25","2016-01-17T22:57:17.868Z","","",""
"1","121","53.457337","-2.235425","93.0","263.0","10","0.125","2016-01-17T22:57:18.846Z","","",""
"1","122","53.457337","-2.235425","93.0","263.0","10","0.1875","2016-01-17T22:57:28.864Z","","",""
"1","123","53.457321","-2.235353","93.5999984741211","263.0","10","0.4375","2016-01-17T22:57:29.857Z","","",""
"1","124","53.457317","-2.235339","93.5999984741211","235.0","10","0.3125","2016-01-17T22:57:32.855Z","","",""
"1","125","53.457317","-2.235339","93.5999984741211","235.0","10","0.125","2016-01-17T22:57:33.827Z","","",""
"1","126","53.457362","-2.235366","92.4000015258789","237.0","10","0","2016-01-17T22:57:47.870Z","","",""
"1","127","53.457374","-2.23537","92.30000305175781","237.0","10","0.25","2016-01-17T22:57:48.844Z","","",""
"1","128","53.457374","-2.23537","92.30000305175781","237.0","10","0.25","2016-01-17T22:57:48.862Z","","",""
"1","129","53.457376","-2.235367","92.19999694824219","237.0","10","0.1875","2016-01-17T22:57:49.847Z","","",""
"1","130","53.457376","-2.235367","92.19999694824219","237.0","10","0.1875","2016-01-17T22:57:49.862Z","","",""
"1","131","53.457379","-2.235366","92.19999694824219","237.0","10","0.3125","2016-01-17T22:57:50.842Z","","",""
"1","132","53.457379","-2.235366","92.19999694824219","237.0","10","0.3125","2016-01-17T22:57:50.865Z","","",""
"1","133","53.457379","-2.235366","92.19999694824219","237.0","10","0.1875","2016-01-17T22:57:51.822Z","","",""
"1","134","53.457423","-2.235381","92.4000015258789","237.0","10","0.125","2016-01-17T22:59:41.867Z","","",""
"1","135","53.45741","-2.235469","91.0999984741211","237.0","10","0.375","2016-01-17T22:59:42.837Z","","",""
"1","136","53.457407","-2.235502","91.0","237.0","10","0.25","2016-01-17T22:59:45.850Z","","",""
"1","137","53.457407","-2.235502","91.0","237.0","10","0.1875","2016-01-17T22:59:46.857Z","","",""
"1","138","53.457432","-2.235542","90.4000015258789","237.0","10","0.0625","2016-01-17T23:00:02.875Z","","",""
"1","139","53.457414","-2.235467","90.19999694824219","237.0","10","0.3125","2016-01-17T23:00:03.838Z","","",""
"1","140","53.457414","-2.235467","90.19999694824219","237.0","10","0.3125","2016-01-17T23:00:03.855Z","","",""
"1","141","53.457416","-2.235463","89.9000015258789","237.0","10","0.125","2016-01-17T23:00:04.842Z","","",""
"1","142","53.457421","-2.235467","89.9000015258789","237.0","10","0.0625","2016-01-17T23:00:05.894Z","","",""
"1","143","53.457426","-2.235475","89.9000015258789","237.0","10","0.25","2016-01-17T23:00:06.849Z","","",""
"1","144","53.457426","-2.235475","89.9000015258789","237.0","10","0.25","2016-01-17T23:00:06.875Z","","",""
"1","145","53.457426","-2.235475","89.9000015258789","237.0","10","0.125","2016-01-17T23:00:07.852Z","","",""
"1","146","53.457426","-2.235475","89.9000015258789","237.0","10","0.0625","2016-01-17T23:00:23.882Z","","",""
"1","147","53.457429","-2.235386","89.80000305175781","237.0","10","0.25","2016-01-17T23:00:24.825Z","","",""
"1","148","53.457429","-2.235376","89.9000015258789","237.0","10","0.3125","2016-01-17T23:00:25.981Z","","",""
"1","149","53.457429","-2.235374","90.0999984741211","237.0","10","0.125","2016-01-17T23:00:26.834Z","","",""
"1","150","53.457393","-2.235415","88.30000305175781","237.0","10","0.125","2016-01-17T23:00:56.858Z","","",""
"1","151","53.457369","-2.235475","86.5","237.0","10","0.375","2016-01-17T23:00:57.855Z","","",""
"1","152","53.457362","-2.235485","86.0999984741211","242.0","10","0.3125","2016-01-17T23:00:59.872Z","","",""
"1","153","53.457362","-2.235486","86.0","242.0","10","0.1875","2016-01-17T23:01:00.838Z","","",""
"1","154","53.457325","-2.23535","88.80000305175781","242.0","10","0.1875","2016-01-17T23:17:01.861Z","","",""
"1","155","53.457323","-2.235337","88.9000015258789","242.0","10","0.375","2016-01-17T23:17:02.831Z","","",""
"1","156","53.457318","-2.23532","88.9000015258789","242.0","10","0.25","2016-01-17T23:17:05.870Z","","",""
"1","157","53.457318","-2.23532","88.9000015258789","242.0","10","0.1875","2016-01-17T23:17:06.839Z","","",""
